id,oplocdistrict,industryphy,industryco,dom,enttype,enttypeitem,state,orgid,jobid,adbusign,townsign,regtype,empnum,compform,parnum,exenum,venind,enttypeminu,oploc,regcap,reccap,enttypegb,tfidif_opscope,gap_year,regcap_reccap,bucket_regcap,bucket_reccap,bucket_regcap_reccap,enttypegb_enttypeitem,industryphy_industryco,enttypegb_industryphy,industryphy_enttypeitem,industryco_enttypeitem,enttypegb_enttypeitem_industryphy_industryco,ANCHEYEAR,STATE,EMPNUM,EMPNUMSIGN,BUSSTNAME,COLGRANUM,RETSOLNUM,DISPERNUM,UNENUM,COLEMPLNUM,RETEMPLNUM,DISEMPLNUM,UNEEMPLNUM,WEBSITSIGN,FORINVESTSIGN,STOCKTRANSIGN,PUBSTATE,TAX_CATEGORIES,TAX_ITEMS,TAXATION_BASIS,TAX_RATE,DEDUCTION,TAX_AMOUNT,gap_day,income,bucket_TAX_AMOUNT,bgxmdm,positive_negtive,legal_judgment_num,brand_num,patent_num,label
47645761dc56bb8c5fae00114b768b5d9b6e917c3aec07c4,340223,0,7513,0,1100,1150,6,3.40E+17,3.40E+17,0,0,1,5,-1,-1,-1,-1,1151,0,50,-1,1151,2.533447839,98,51,2,0,3,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
59b38c56de3836838082cfcb1a298951abfe15e6940c49ba,340202,2,9053,2,1100,1150,6,3.40E+17,4.00E+17,0,0,1,2,-1,1,-1,-1,1151,0,100,-1,1151,3.988877909,97,101,4,0,5,0,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
e9f7b28ec10e047000d16ab79e1b5e6da434a1697cce7818,340221,3,7212,3,4500,4540,6,3.40E+17,4.00E+17,0,1,1,2,-1,-1,-1,-1,-1,0,10,-1,4540,3.770586972,102,11,0,0,1,2,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,388,-1,-1,-1,-1,0
f000950527a6feb63ee1ce82bb22ddd1ab8b8fdffa3b91fb,340202,2,8810,4,1100,1130,7,3.40E+17,4.00E+17,0,0,1,-1,-1,-1,-1,-1,-1,0,100,-1,1130,0.519324983,50,101,4,0,5,3,4,4,4,4,4,2017.5,2,3.5,2,0,2,0,0,0,1.5,0,0,0,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,390.3333333,-1,-1,-1,-1,0
9c7fa510616a6830b878f3c8c4317d93e1b022e7f22ae231,340222,1,8052,6,9600,-1,6,3.40E+17,3.40E+17,0,1,1,5,1,-1,-1,3,-1,3,20,-1,9600,2.466498999,97,21,1,0,2,1,6,1,1,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
216bd2aaf4d07924b4a106be25791281e2a6d9e54eaee13b,340203,0,7519,8,1100,1190,6,3.40E+17,4.00E+17,0,0,1,2,-1,-1,-1,-1,-1,0,300,-1,1190,4.001607618,97,301,5,0,6,4,8,6,6,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,126.8,-1,-1,-1,-1,0
743e550a617316d5772a00182284976e17d42b6f0ca6d374,340208,1,8051,9,9600,-1,6,3.40E+17,3.40E+17,0,1,1,6,1,-1,-1,3,-1,4,10,-1,9600,2.466498999,102,11,0,0,1,1,9,1,1,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,112,-1,-1,-1,-1,0
47645761dc56bb8c2e69442a3fb23e64cca201c0373b5336,340223,0,7513,10,1100,1130,6,3.40E+17,4.00E+17,0,0,1,10,-1,-1,-1,-1,-1,0,500,-1,1130,2.552542403,97,501,6,0,6,3,0,7,7,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
f000950527a6feb646b54f7874d7681533f53942a6d9cc08,340202,4,8394,11,1100,1130,6,3.40E+17,4.00E+17,0,0,1,3,-1,-1,-1,-1,-1,0,5000,-1,1130,5.073496268,50,5001,8,0,8,3,10,8,8,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119.1428571,-1,-1,-1,-1,0
f1c1045b13d183295de5542196ec37fb5c6e28b97b167905,340225,1,8111,14,9600,-1,6,3.40E+17,4.00E+17,0,0,1,1,1,-1,-1,2,-1,5,50,-1,9600,2.489129593,97,51,2,0,3,1,7,1,1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
d8071a739aa75a3b582859238697138fa8552bf5301ede26,340207,1,8290,16,1100,1150,6,3.40E+17,3.40E+17,0,0,1,5,-1,-1,-1,-1,1153,0,50,-1,1153,3.393646143,50,51,2,0,3,5,14,9,9,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,128.5,-1,-1,-1,-1,0
